광역시도,시군구,행정구,20-39세여자,20-39세합계,65세이상합계,인구수남자,인구수여자,인구수합계,소멸비율,소멸위기지역,ID
광주, 북구, ,56938,115023,58933,208100,214164,422264,1.9322959971493052,False,광주 북구
광주, 서구, ,39602,77733,38366,141373,148608,289981,2.064432049210238,False,광주 서구
대구, 남구, ,18059,36403,31219,67453,73563,141016,1.1569236682789328,False,대구 남구
대구, 달서구, ,69705,142081,72740,269246,280734,549980,1.9165521033819082,False,대구 달서
대구, 달성군, ,33012,68262,27906,122037,120963,243000,2.36594280799828,False,대구 달성
대구, 동구, ,39988,82204,60517,160082,167925,328007,1.3215460118644349,False,대구 동구
대구, 북구, ,54402,113047,56992,210525,214808,425333,1.9091100505334082,False,대구 북구
대구, 서구, ,18019,39397,34817,83008,84438,167446,1.0350690754516472,False,대구 서구
대구, 수성구, ,44780,88787,60804,195256,209978,405234,1.4729294125386487,False,대구 수성
대구, 중구, ,10915,21428,14236,34690,37793,72483,1.5334363585276762,False,대구 중구
대전, 대덕구, ,20568,43677,24547,85844,84978,170822,1.6758055974253472,False,대전 대덕
대전, 동구, ,28471,59947,37784,111143,110812,221955,1.5070400169383866,False,대전 동구
대전, 서구, ,67755,134767,54211,226805,236942,463747,2.499677187286713,False,대전 서구
대전, 유성구, ,49545,103746,29084,170005,166349,336354,3.4070279191307935,False,대전 유성
대전, 중구, ,27469,54807,41168,110975,116206,227181,1.3344830936649825,False,대전 중구
부산, 강서구, ,17626,35490,13407,61117,59334,120451,2.629372715745506,False,부산 강서
부산, 금정구, ,28544,59601,43238,111149,116961,228110,1.3203200888107682,False,부산 금정
부산, 기장군, ,18881,37473,22967,75833,78699,154532,1.644185135193974,False,부산 기장
부산, 남구, ,32292,65648,48766,127898,135086,262984,1.324365336504942,False,부산 남구
부산, 동구, ,9163,18886,20349,39342,41747,81089,0.9005847953216374,True,부산 동구
부산, 동래구, ,30706,61364,43883,123015,131537,254552,1.399448533600711,False,부산 동래
부산, 부산진구, ,47780,93807,62545,162539,176684,339223,1.5278599408425932,False,부산 부산진
부산, 북구, ,33946,69489,42923,135427,141076,276503,1.5817160962654055,False,부산 북구
부산, 사상구, ,26362,54928,33971,104170,104881,209051,1.5520296723676077,False,부산 사상
부산, 사하구, ,37266,77401,51920,150249,154497,304746,1.4355161787365178,False,부산 사하
부산, 서구, ,11902,23642,23618,48104,51997,100101,1.0078753493098485,False,부산 서구
부산, 수영구, ,22650,44258,33380,77880,86904,164784,1.3571000599161174,False,부산 수영
부산, 연제구, ,25805,50757,35307,94732,103253,197985,1.4617497946582831,False,부산 연제
부산, 영도구, ,10617,22954,27636,53656,55802,109458,0.7683456361267912,True,부산 영도
부산, 중구, ,4458,9289,9567,18759,19807,38566,0.9319535904672311,True,부산 중구
부산, 해운대구, ,45139,88245,61986,181834,198152,379986,1.4564256445003712,False,부산 해운대
서울, 강남구, ,76930,140926,65713,234001,259491,493492,2.3413936359624428,False,서울 강남
서울, 강동구, ,58315,114312,59133,196902,206541,403443,1.9723335531767372,False,서울 강동
서울, 강북구, ,39639,78369,56516,141759,152384,294143,1.4027532026328828,False,서울 강북
서울, 강서구, ,92400,177038,79180,268057,291302,559359,2.3339227077544833,False,서울 강서
서울, 관악구, ,91377,186005,70663,234870,237926,472796,2.586275702984589,False,서울 관악
서울, 광진구, ,59479,113351,44612,159187,172560,331747,2.666502286380346,False,서울 광진
서울, 구로구, ,57708,112888,61715,188979,197260,386239,1.8701450214696589,False,서울 구로
서울, 금천구, ,32331,67481,34691,110152,109744,219896,1.8639416563373785,False,서울 금천
서울, 노원구, ,66657,131084,76136,241951,263016,504967,1.7509982137228117,False,서울 노원
서울, 도봉구, ,41366,81619,55474,152106,162926,315032,1.4913653242960667,False,서울 도봉
서울, 동대문구, ,51838,103780,54777,160582,167315,327897,1.8926921883272176,False,서울 동대문
서울, 동작구, ,63236,123540,58255,180291,194187,374478,2.1710067805338595,False,서울 동작
서울, 마포구, ,64500,118571,47926,163126,185629,348755,2.6916496265075325,False,서울 마포
서울, 서대문구, ,47970,90833,47748,137971,153987,291958,2.009298818798693,False,서울 서대문
서울, 서초구, ,58717,108033,52440,185921,205599,391520,2.239397406559878,False,서울 서초
서울, 성동구, ,47313,91871,40757,137125,146205,283330,2.3217116078219693,False,서울 성동
서울, 성북구, ,64579,123727,65389,200642,217761,418403,1.975225190781324,False,서울 성북
서울, 송파구, ,101198,190322,81962,301491,327784,629275,2.469388253092897,False,서울 송파
서울, 양천구, ,56142,108836,57720,208741,221078,429819,1.9453222453222454,False,서울 양천
서울, 영등포구, ,58287,113318,52455,167114,174395,341509,2.222362024592508,False,서울 영등포
서울, 용산구, ,33888,64265,32923,97390,106806,204196,2.0586216322935336,False,서울 용산
서울, 은평구, ,65072,124564,74710,213158,234535,447693,1.741989024227011,False,서울 은평
서울, 종로구, ,20957,40758,23700,65594,71055,136649,1.7685232067510548,False,서울 종로
서울, 중구, ,19327,37325,19765,55820,59845,115665,1.955679230963825,False,서울 중구
서울, 중랑구, ,54584,108476,61294,183357,191283,374640,1.781055241948641,False,서울 중랑
세종, 세종시, ,47728,93067,29227,159457,162038,321495,3.2660211448318335,False,세종
울산, 남구, ,38741,82578,34419,155232,152062,307294,2.251140358522909,False,울산 남구
울산, 동구, ,18492,39771,17097,77870,73337,151207,2.1631865239515706,False,울산 동구
울산, 북구, ,28030,57905,15219,104664,100605,205269,3.683553452920691,False,울산 북구
울산, 울주군, ,22638,48404,27838,105698,101669,207367,1.626409943243049,False,울산 울주
울산, 중구, ,24879,52459,29334,106869,105581,212450,1.6962569032521988,False,울산 중구
인천, 강화군, ,4265,9079,19402,30141,30481,60622,0.4396453973817132,True,인천 강화
인천, 계양구, ,39652,79401,32634,141983,146439,288422,2.4301035729607157,False,인천 계양
인천, 남동구, ,69710,139243,62739,250015,258488,508503,2.2222222222222223,False,인천 남동
인천, 동구, ,6549,13526,12858,30224,30567,60791,1.0186654223051796,False,인천 동구
인천, 미추홀구, ,52588,110480,62042,195241,195975,391216,1.695238709261468,False,인천 미추홀
인천, 부평구, ,68137,136229,65451,238604,248867,487471,2.0820766680417413,False,인천 부평
인천, 서구, ,72497,144517,49718,257587,258297,515884,2.9163280904300253,False,인천 서구
인천, 연수구, ,48745,95482,32424,170243,175106,345349,3.0067234147545028,False,인천 연수
인천, 옹진군, ,1291,3675,4623,9801,7945,17746,0.5585117888816785,True,인천 옹진
인천, 중구, ,17264,35567,17176,63147,60402,123549,2.0102468560782487,False,인천 중구
전남, 강진군, ,2263,4568,10775,14729,16255,30984,0.42004640371229696,True,강진
전남, 고흥군, ,3131,6823,23336,27685,29645,57330,0.26834076105587934,True,고흥
전남, 곡성군, ,1773,3932,9129,12377,13043,25420,0.38843246795925074,True,곡성
전남, 광양시, ,15237,32494,17573,69766,66935,136701,1.7341375974506346,False,광양
전남, 구례군, ,1529,3138,7798,10860,11788,22648,0.39215183380353935,True,구례
전남, 나주시, ,11951,24039,22275,50367,51879,102246,1.0730415263748596,False,나주
전남, 담양군, ,3210,6745,12503,19376,20015,39391,0.5134767655762617,True,담양
전남, 목포시, ,24700,50155,34227,107238,109853,217091,1.4433049931340753,False,목포
전남, 무안군, ,7887,16346,14833,36499,36691,73190,1.0634396278568057,False,무안
전남, 보성군, ,2235,4721,13817,17253,18675,35928,0.3235145111095028,True,보성
전남, 순천시, ,30704,62033,38896,127392,131116,258508,1.578774167009461,False,순천
전남, 신안군, ,1893,4625,12414,17302,15946,33248,0.304978250362494,True,신안
전남, 여수시, ,26312,57128,47866,129856,127603,257459,1.0994024986420423,False,여수
전남, 영광군, ,4021,8339,13560,22997,23725,46722,0.5930678466076696,True,영광
전남, 영암군, ,4164,9127,12694,25034,24174,49208,0.6560579801481015,True,영암
전남, 완도군, ,3027,6845,14341,22541,22245,44786,0.42214629384282826,True,완도
전남, 장성군, ,3166,6561,11511,18789,19446,38235,0.5500825297541482,True,장성
전남, 장흥군, ,2460,5138,11638,16311,17698,34009,0.4227530503522942,True,장흥
전남, 진도군, ,1739,3887,9188,13233,13723,26956,0.3785372224640836,True,진도
전남, 함평군, ,1728,3847,10199,13806,14082,27888,0.3388567506618296,True,함평
전남, 해남군, ,4520,9221,19832,29830,31317,61147,0.45582896329164985,True,해남
전남, 화순군, ,4837,9692,14657,26670,28668,55338,0.6600259261786178,True,화순
전북, 고창군, ,3451,7410,16964,24257,25448,49705,0.4068615892478189,True,고창
전북, 군산시, ,28080,58341,44223,126535,126562,253097,1.2699274133369514,False,군산
전북, 김제시, ,6020,12643,23275,36619,38592,75211,0.5172932330827068,True,김제
전북, 남원시, ,6092,12442,20231,35836,38009,73845,0.6022440808659977,True,남원
전북, 무주군, ,1449,3071,7291,10779,11078,21857,0.39747634069400634,True,무주
전북, 부안군, ,3412,7273,15492,23144,24015,47159,0.4404854118254583,True,부안
전북, 순창군, ,1942,3732,8467,12130,13174,25304,0.45872209755521437,True,순창
전북, 완주군, ,9093,19047,18469,43862,42548,86410,0.9846770263685094,True,완주
전북, 익산시, ,30694,64767,49006,134541,136238,270779,1.2526629392319308,False,익산
전북, 임실군, ,1953,4078,8782,12476,12588,25064,0.4447734001366431,True,임실
전북, 장수군, ,1422,2972,6777,9869,10215,20084,0.4196547144754316,True,장수
전북, 전주시, 덕진구,40450,82008,40176,150420,153482,303902,2.0136399840700916,False,전주 덕진
전북, 전주시, 완산구,41666,82950,48062,157102,167008,324110,1.7338437851108983,False,전주 완산
전북, 정읍시, ,8352,17454,27007,49037,50712,99749,0.6185063131780649,True,정읍
전북, 진안군, ,1561,3123,7722,10926,11122,22048,0.4042994042994043,True,진안
제주, 서귀포시, ,17328,34640,31129,82173,82726,164899,1.1133027080857079,False,서귀포
제주, 제주시, ,57292,114518,61965,227688,230860,458548,1.8491729201968854,False,제주
충남, 계룡시, ,4111,8354,4456,19798,20264,40062,1.845152603231598,False,계룡
충남, 공주시, ,10077,21079,24031,49143,49791,98934,0.8386667221505555,True,공주
충남, 금산군, ,3745,8222,14314,24142,24191,48333,0.5232639374039402,True,금산
충남, 논산시, ,10059,21283,27347,53875,55146,109021,0.735656561962921,True,논산
충남, 당진시, ,16874,37981,27802,81970,74640,156610,1.2138695057909503,False,당진
충남, 보령시, ,7920,17433,23385,46468,46602,93070,0.6773572803078897,True,보령
충남, 부여군, ,4129,9004,20327,29958,30890,60848,0.4062576868204851,True,부여
충남, 서산시, ,17285,37824,29258,83783,79875,163658,1.1815571809419645,False,서산
충남, 서천군, ,3017,6788,17125,23558,24507,48065,0.35235036496350364,True,서천
충남, 아산시, ,39132,82081,37285,152655,146062,298717,2.099074694917527,False,아산
충남, 예산군, ,5622,12312,22163,36332,36700,73032,0.5073320398862969,True,예산
충남, 천안시, 동남구,34341,69793,32604,125551,125705,251256,2.106551343393449,False,천안 동남
충남, 천안시, 서북구,60130,123468,30501,189764,185633,375397,3.94282154683453,False,천안 서북
충남, 청양군, ,1929,4356,10023,14435,14300,28735,0.3849146961987429,True,청양
충남, 태안군, ,4122,9463,17252,28668,28413,57081,0.4778576396939485,True,태안
충남, 홍성군, ,9656,19959,21525,46923,48039,94962,0.8971893147502904,True,홍성
충북, 괴산군, ,2159,5135,11428,17360,16800,34160,0.37784389219460973,True,괴산
충북, 단양군, ,1746,3842,7955,13293,13185,26478,0.43896920175989945,True,단양
충북, 보은군, ,1949,4288,10025,14864,15081,29945,0.3888279301745636,True,보은
충북, 영동군, ,3394,7450,13433,22177,22386,44563,0.5053227127224,True,영동
충북, 옥천군, ,3530,7557,13177,22957,23225,46182,0.5357820444714275,True,옥천
충북, 음성군, ,8489,18696,16864,44540,41211,85751,1.006759962049336,False,음성
충북, 제천시, ,12484,26688,26116,63363,63303,126666,0.9560422729361311,True,제천
충북, 증평군, ,4087,9059,5720,18166,17298,35464,1.4290209790209791,False,증평
충북, 진천군, ,8623,18978,12143,39378,36819,76197,1.4202421147986495,False,진천
충북, 청주시, 상당구,19444,39870,25585,82711,85162,167873,1.519953097518077,False,청주 상당
충북, 청주시, 서원구,25609,53447,26464,97386,99616,197002,1.9353839177750907,False,청주 서원
충북, 청주시, 청원구,26880,57755,21908,95997,92726,188723,2.4538981194084353,False,청주 청원
충북, 청주시, 흥덕구,36141,75036,26340,124808,124118,248926,2.7441913439635535,False,청주 흥덕
충북, 충주시, ,21483,47183,37574,101311,99746,201057,1.1435034864533986,False,충주
